-123,123,1508702596.44
-123,123,1508702596.61
-123,123,1508702596.77
-123,123,1508702596.92
-123,123,1508702597.15
-123,123,1508793890.87
-123,123,1508793891.43
-123,123,1508793891.63
-123,123,1508793891.84
-123,123,1508793897.72
-123,123,1508793897.87
-123,123,1508793898.02
-123,123,1508793898.2
37.32981824,-122.02002244,1509507499.06
37.32979513,-122.01994945,1509507501.07
37.32975796,-122.01989151,1509507503.05
37.32970557,-122.01986866,1509507505.06
37.32964523,-122.01984995,1509507507.06
37.32959,-122.01983783,1509507509.06
37.32952569,-122.01982409,1509507511.07
37.3294642,-122.01981015,1509507513.07
37.32940293,-122.01980518,1509507515.08
37.32933984,-122.01980544,1509507517.09
37.3292702,-122.01979798,1509507519.1
37.32919862,-122.01979254,1509507521.1
37.32913358,-122.0197871,1509507523.11
37.32906944,-122.01978829,1509507525.11
37.32902901,-122.01979056,1509507527.12
37.32896974,-122.01979508,1509507529.13
37.32890653,-122.01979843,1509507531.13
37.32884136,-122.01980191,1509507533.14
37.32877317,-122.0198055,1509507535.14
37.32462605,-122.02327306,1509507751.67
37.32463487,-122.02335996,1509507753.67
37.32463193,-122.02343887,1509507755.66
37.32462792,-122.02351949,1509507757.67
37.32463012,-122.02360426,1509507759.68
37.3246316,-122.02369228,1509507761.68
37.32462841,-122.02377562,1509507763.69
37.32462582,-122.02385532,1509507765.69
37.32462526,-122.02392524,1509507767.7
37.3264505,-122.02637807,1509507875.99
37.32645856,-122.02645995,1509507878.0
37.32648929,-122.02653008,1509507880.01
37.32653217,-122.0265885,1509507882.01
37.32657234,-122.02664669,1509507884.02
37.3266182,-122.02670239,1509507886.02
37.3266695,-122.02674573,1509507888.03
37.32672031,-122.02679174,1509507890.03
37.32677319,-122.02683814,1509507892.04
37.32683408,-122.02685146,1509507894.04
37.32689395,-122.02685541,1509507896.06
37.3272408,-122.02685339,1509507908.08
37.32730351,-122.02685112,1509507910.08
37.32736552,-122.02684942,1509507912.09
37.32742722,-122.02685056,1509507914.11
37.33022614,-122.02799823,1509508017.35
37.33024447,-122.02807693,1509508019.35
37.33026548,-122.02816596,1509508022.35
37.33027077,-122.02822448,1509508024.36
37.33028248,-122.02828522,1509508026.36
37.33030297,-122.02835836,1509508028.37
37.3303412,-122.02841777,1509508030.37
37.33036808,-122.02849311,1509508032.38
37.33039298,-122.02857134,1509508034.38
37.33041643,-122.02866478,1509508036.39
37.33043289,-122.028749,1509508038.4
37.33045847,-122.02882197,1509508040.4
37.33048701,-122.02888947,1509508042.41
37.33051179,-122.02895555,1509508044.41
